Patellar Stretch Reflex|Maintains specific tension and length of quadriceps muscle
_Mesencephalon_|Midbrain. Relay station for visual (superior colliculus), auditory (inferior colliculus), nuclei.
Superior colliculus|visual relay station in midbrain
Inferior colliculus|auditory relay station in midbrain
Red nucleous|relay station between cerebellum and fuebrain
Subdtantia nigra|postural and motor control nuclei, where cells die in parkinson's disease
_Hindbrain_|2 devisions, Metencephalon and Myelencephalon
Metencephalon|Pons and cerebellum
Pons|Major fiber tract. Pathway to and from cerebellum and hindbrain. Has some nuclei which control respiration and sleep.
Cerebellum|Maintain muscle tone and balance. Helps in planning out movement smoothly. Motor memory. Receives information from cerebral cortex indirectly about planned movements. Receives info from cerebral cortex about sensory feedback from movement as well. Cerebellum compares these pieces of information to make sure movement happened correctly, generated correction
Motor error|signals indicate incorrect motion compared to intended motion in cerebellum, correction is then made
Pontire nucleous|receive info about _intended_ movement. Extend out into mossy fibers which synapse with granule cells. Granule cells send up its own axon that synapse the _Purkinje cells_ using parallel fibers.
Inferior olive of Myelencephalon|Gets input about _actual_ movements, synapse with _Purkinje cells_ using climbing fibers, wrap dendrites.
Deep cerebellum nuclei|gets info from _Purkinje cells_ about actual and intended movements; output corrected movement is sent to motor cortex if needed.
Myelencephalon|_Medulla oblongata_, continuation of spinal cord. Blood rate, breathing, coughing, gagging. Controls basic functions, required for survival.
Optic nerve(II)|lateral geniculate to eye
Cerebrospinal fluid|Produced from blood in _chorid plexus_ in addition to ionic balance, its important as a shock absorber
Meninges|Surrounding the CNS, set of 3 membranes
Blood brain barrier|also regulates what ions/proteins reach brain. Capillary endothelial cells in CNS are joined by the tight junctions. Stuff cannot exit or enter these capillaries unless they pass through endothelial cells membrane using small lipid soluable molecules or transporters.
Astrocytes|Secrete molecules/proteins to stimulate endothelial cells of capillaries to regulate tightness of tight junction, regulate permeability of blood brain barrier.
Sympathetic|Fight or flight responses. ACh and norepinephrine as NT
norepinephrine|fight or flight, causes effects like inc hr, inc blood flow to muscles, sweat, inhibit digestion, mobilizes glucose, activates adrenal glands, dialates pupils.
Parasympathetic|Rest and digest responses. ACh only as NT.
Neuronal membrane|Phospholipid bilayer. Phosphate head is hydrophilic
Vm|constant * ln( [k+]out/[k+]in ), 8.31 j/mol*K, Rt/zf
Constant of 25 mv|assuming temp is 20C and valance of 1. Needs to be multiplied by ln of concentration gradient
driving force|tells you the strength of the forces acting on each ion, it is the difference between the membrane potential and the ion's equilibrium potential. df = V_m - E_ion (membrane potential - equilibrium potential)
Na+/K+|pump to counteract leak. Removes 3 Na+ from cell, brings in 2K+, uses 1 ATP
Action potential|come about as there is a transient increase in PNa+. Not for long, ~1msec
AP steps|start at -60(Resting), spike up positive(depolarization), Peak(overshoot), Falling phase(repolarization), dip back below -60(undershoot/hypopolarization) for a split second, back to -60(Resting) all in 1msec
threshold|unstable equilibrium for neurons, -20mV
Na+ channels|are gated by voltage
Peak of AP|Vm nears Ena+(equilibrium) around +42
Voltage clamp|allows you to measure how permeable a membrane is and how ions are moving across it in real time. 2 electrodes needed inside cell. One to measure Vm, one to pass current.
Command voltage|you tell the circuitry what you want Vm to be
voltage clamp circuitry|look at Vm is, where you set it (command voltage), then pass current into cell to make them match using the second electrode
