Ca++ Channels are sometimes mutated|can be truncated and lead to abnormal limb movement, nausea, headache, vertigo, brought by stress and stops after a few hours
Na+ channel mutation|can lead to seizures, one tpye is only in children, stops in puberty
Myotonia congenita|mutation of Cl- channel, Cl- channels keep Vm below threshold. When animal wants to carry out muscle action, muscle depolarizes and contracts, without proper Cl- function it keeps depolarizing and, "seizes up" and animal freezes
internal resistance of the cytoplasm|is _Ri_
length constant (lambda)|the distance a given charge in Vm can travel before declining to a certain level, lambda = sqrt(Rm/Ri)
Rm|how easily charges cross membrane
Ri|determines how easily charges move inside
Time constant (Tau)|a different set of factors determine how quickly the charges can change Vm (To reach threshold if you want to  generate an AP). Depends on membrane capacitance **Cm**
Tau|Tau = Cm*Rm, tells  you how long it takes for Vm to reach 1 - 1/e of the  final Vm
To optimize speed of AP|you would want a long lambda and a short _time constant_, but Tau = Cm*Rm and lambda = Rm/Ri
What is the role of myelin|small Cm of myelin lowers the Tau (time needed for charges to move) and raises the lambda (distance traveled) as charges don't leak back out
Electrical Synaptic Transmission|ionic charge moves directly between neurons through channels (Connexons)
Connexons|located on membranes of the pre and postsynaptic neurons, which meet at a gap junction. Pre synaptic cell line up with post synaptic cell connexons to make a channel. Made up of 6 subunits with a channel down the middle. This is often not a very specific channel, ions flow either direction.
Chemical|synapses offer flexibility, synaptic cleft is a physical space between neurons, uses neurotransmitters
Synapse needs extracellular|Ca++ to pass a chemical signal. Substituting Mg++ for Ca++ in saline will block synaptic transmission
PSP|transient change in membrane potential,can spread a lot depending on space and tome constants is this is large enough to generate AP
epsp|excitatory postsynaptic potential
ipsp|inhibatory postsynaptic potential
Ach opens a channel that allows passage of|both Na+ and K, but k flows out
Reversal potential|is Vm where the Na+ entering is balanced by K+ exiting and there is not net current. Will see no change in Vm when apply ACh. Vrev = Ena + Ek /2, or Vrev = n(Ena+) + (Ek+)/ n+1 [how many more times Na+ is permiable over K+, if K+ is more either use a frac or move n in front of ek+]
Molecular structure of ACh gated receptor|can be isolated in neuromuscular junction. 5 Subunits: 2 a, 1 b, 1 d, 1g.
Nicotinic ACh receptor|Binding sites on a subunit, needs 2 ACh molecules, one at each subunit. Provides EPSP.
Metabolic ACh gated channels|like the muscarinic receptor
alpha bungarotoxin|Toxins target nicotinc ACh receptor, binds irreversibly
EPSP|Above threshold
IPSP|Below threshold, Cl- and K+ moving through a channel could create a IPSP.
When will a IPSPS occur?|Happens when Vrev is below threshold, as Vm will move torward Vrev when channel opens.
GABA|inhibitory neurotransmitter
GABA channel structure|gated channel has 5 subununits, GABA binds to b subununit. Opens channel for Cl-
Drugs on GABA|Some drugs bind to secondary sites that enhance opening. Barbituates and tranquilizers.
Neuromodulation|Molecules that act on nerves to enhance or inhibit nerves
